"model","AgeDecade","term","estimate","std_error","ci_low","ci_high"
"pooled","pooled","(Intercept)",22.0719255482504,0.827044260481386,20.4509187977069,23.6929322987939
"pooled","pooled","Gendermale",-2.06482790715838,0.16173850904729,-2.38183538489107,-1.74782042942569
"pooled","pooled","Poverty",0.00225471367260946,0.0457615773059621,-0.0874379778470762,0.0919474051922951
"pooled","pooled","DirectChol",-6.09544505380638,0.198321140382026,-6.48415448895515,-5.70673561865761
"pooled","pooled","Pulse",0.00318506554876955,0.00639074707218594,-0.00934079871271489,0.015710929810254
"pooled","pooled","BPSysAve",0.126262778508508,0.00470468977226152,0.117041586554876,0.135483970462141
"group"," 0-9","(Intercept)",10.6597739965577,4.03547503062023,2.75024293654209,18.5693050565734
"group"," 0-9","Gendermale",-0.956961126847541,0.503600556228838,-1.94401821705606,0.0300959633609815
"group"," 0-9","Poverty",-0.135196235349793,0.161078518149298,-0.450910130922418,0.180517660222832
"group"," 0-9","DirectChol",-2.86487553762816,0.784517802868573,-4.40253043125057,-1.32722064400576
"group"," 0-9","Pulse",0.0113823153007068,0.0217678267673931,-0.0312826251633837,0.0540472557647973
"group"," 0-9","BPSysAve",0.116483879018288,0.0314027789102352,0.0549344323542268,0.178033325682349
"group"," 10-19","(Intercept)",16.1831682078962,2.26901641369806,11.7358960370481,20.6304403787444
"group"," 10-19","Gendermale",-2.29601749902674,0.336611591580957,-2.95577621852542,-1.63625877952807
"group"," 10-19","Poverty",-0.257326953953297,0.0948833081578314,-0.443298237942646,-0.0713556699639472
"group"," 10-19","DirectChol",-6.92903562452692,0.535615334220372,-7.97884167959885,-5.87922956945499
"group"," 10-19","Pulse",-0.0406535762007638,0.0138553947117851,-0.0678101498358626,-0.0134970025656651
"group"," 10-19","BPSysAve",0.199030370960102,0.015316680154357,0.169009677857562,0.229051064062642
"group"," 20-29","(Intercept)",14.340790902347,2.45774713682472,9.52360651417053,19.1579752905234
"group"," 20-29","Gendermale",-2.99539314284739,0.427142289710669,-3.8325920306803,-2.15819425501448
"group"," 20-29","Poverty",-0.0877763759989494,0.114145534848222,-0.311501624301464,0.135948872303565
"group"," 20-29","DirectChol",-6.94471892052284,0.551571879984009,-8.02579980529149,-5.86363803575418
"group"," 20-29","Pulse",0.0693397376033162,0.016304434733532,0.0373830455255935,0.101296429681039
"group"," 20-29","BPSysAve",0.167587673865735,0.0178063354918967,0.132687256301618,0.202488091429853
"group"," 30-39","(Intercept)",19.8146622632876,2.22431130041978,15.4550121144649,24.1743124121104
"group"," 30-39","Gendermale",-2.3149490072551,0.419709409495823,-3.13757944986692,-1.49231856464329
"group"," 30-39","Poverty",-0.399406908906357,0.11576491809779,-0.626306148378026,-0.172507669434688
"group"," 30-39","DirectChol",-6.41723830250647,0.51962728675097,-7.43570778453837,-5.39876882047456
"group"," 30-39","Pulse",0.112006392634359,0.0162825109233405,0.0800926712246114,0.143920114044106
"group"," 30-39","BPSysAve",0.101852253827569,0.015183331311777,0.0720929244564857,0.131611583198652
"group"," 40-49","(Intercept)",23.4284747356045,1.76094544970237,19.9770216541879,26.8799278170212
"group"," 40-49","Gendermale",-1.68218944791351,0.368586687046867,-2.40461935452537,-0.959759541301655
"group"," 40-49","Poverty",0.0952462998585598,0.104359466337029,-0.109298254162017,0.299790853879137
"group"," 40-49","DirectChol",-5.70714495536629,0.38171896950592,-6.4553141355979,-4.95897577513469
"group"," 40-49","Pulse",0.0276749659459544,0.0147436388910499,-0.0012225662805033,0.0565724981724121
"group"," 40-49","BPSysAve",0.102172249249739,0.0119889049742824,0.0786739955001457,0.125670502999333
"group"," 50-59","(Intercept)",31.247482745175,1.92136622712764,27.4816049400048,35.0133605503451
"group"," 50-59","Gendermale",-1.35046580365216,0.398536630840891,-2.1315976001003,-0.569334007204012
"group"," 50-59","Poverty",-0.225763274315478,0.110569522752536,-0.442479538910448,-0.00904700972050823
"group"," 50-59","DirectChol",-6.12337287749599,0.450742411303808,-7.00682800365145,-5.23991775134053
"group"," 50-59","Pulse",0.0487410331038933,0.0158735871706695,0.0176288022493811,0.0798532639584055
"group"," 50-59","BPSysAve",0.0355428453133551,0.0110266855603076,0.0139305416151522,0.0571551490115581
"group"," 60-69","(Intercept)",39.3315069711406,2.3239630505246,34.7765393921124,43.8864745501688
"group"," 60-69","Gendermale",-1.37201032944195,0.469322026547215,-2.29188150147449,-0.452139157409406
"group"," 60-69","Poverty",-0.264344465731627,0.140094208939582,-0.538929115253209,0.0102401837899544
"group"," 60-69","DirectChol",-5.87959748233963,0.557486070007343,-6.97227017955402,-4.78692478512524
"group"," 60-69","Pulse",0.00738026994427685,0.018969747644125,-0.0298004354382081,0.0445609753267618
"group"," 60-69","BPSysAve",-0.00150805819243109,0.0125885312677052,-0.0261815794771333,0.0231654630922711
"group"," 70+","(Intercept)",38.6465925549122,3.05837946809151,32.6521687974528,44.6410163123715
"group"," 70+","Gendermale",-1.7338047037618,0.603718623838403,-2.91709320648507,-0.550516201038532
"group"," 70+","Poverty",-0.167678398924932,0.195839735945806,-0.551524281378711,0.216167483528848
"group"," 70+","DirectChol",-5.13721472883827,0.672634085223109,-6.45557753587556,-3.81885192180097
"group"," 70+","Pulse",0.0351660167836666,0.0230389410264882,-0.00999030762825038,0.0803223411955835
"group"," 70+","BPSysAve",-0.0246188078505811,0.0148392303558461,-0.0537036993480395,0.00446608364687728
